specimen_id,point_index,point_name,x,y,z,fit_x,fit_y,fit_z,theta_deg,radial_coordinate,axial_coordinate,radial_residual,axial_residual,helix_distance
otiorynchus_singularis_trochanter_aligned,36,C.1.36,0.05626506,-0.1607915,-0.3094374,0.05745668595779199,-0.1612292508617092,-0.30497932195389044,-529.1121383351367,0.23704729342553782,-0.03602113557352158,0.004206339843882023,0.001947501790290553,0.004635305610789287
otiorynchus_singularis_trochanter_aligned,37,C.1.37,0.0859164,-0.1442118,-0.3124601,0.0880980938259725,-0.14745075044689931,-0.30795285901717917,-537.3706469847104,0.23639137761316711,-0.036806668114699875,0.003550424031511318,0.0047916905598590145,0.0059637076743394805
otiorynchus_singularis_trochanter_aligned,38,C.1.38,0.116376,-0.1306263,-0.309834,0.1175633808572429,-0.13307267015297652,-0.30632593493993154,-545.4080304145382,0.23568752840054003,-0.04172528949021104,0.002846574818884229,0.0034056031024898856,0.004438594449957595
otiorynchus_singularis_trochanter_aligned,39,C.1.39,0.1463271,-0.1180094,-0.3018978,0.14597810802588979,-0.11816454516794671,-0.3003005835474767,-553.4018706602698,0.23445587428490744,-0.04834596517010708,0.0016149207032516433,0.00029832354843481565,0.0016422441406020276
otiorynchus_singularis_trochanter_aligned,40,C.1.40,0.1748394,-0.1046942,-0.2905391,0.17318090135587572,-0.10288404207388073,-0.28988963842494436,-561.455279273689,0.23408869980598015,-0.054395702064918665,0.0012477462243243587,-0.0022118361528857735,0.0025395058195499913
otiorynchus_singularis_trochanter_aligned,41,C.1.41,0.2005236,-0.08917116,-0.2759004,0.1986899417553618,-0.08755381656157579,-0.2751503658344913,-569.5869700998246,0.23427192847145606,-0.05787751055457755,0.0014309748898002628,-0.002119661404596255,0.0025574701572792053
otiorynchus_singularis_trochanter_aligned,42,C.1.42,0.2235045,-0.07301089,-0.2578534,0.22178034259918478,-0.07267393381786122,-0.25642126745626503,-577.7274571351999,0.23494141851734504,-0.06018734911999668,0.0021004649356892446,-0.0008516506843959894,0.0022665528527462675
otiorynchus_singularis_trochanter_aligned,43,C.1.43,0.2435742,-0.05803923,-0.2357631,0.24194424763427733,-0.05865763392362467,-0.2341430737876754,-585.8457873377303,0.23522059697339445,-0.06287298120721721,0.002379643391738656,3.082829954211076e-05,0.0023798430737966923
otiorynchus_singularis_trochanter_aligned,44,C.1.44,0.2594821,-0.04712261,-0.2125959,0.2572905416979187,-0.0470678957856286,-0.2114606649092487,-593.1258008021254,0.2351311129795277,-0.06702534267119743,0.002290159397871916,-0.0009218731367644394,0.002468740599566674
otiorynchus_singularis_trochanter_aligned,45,C.1.45,0.2723362,-0.03803683,-0.1868813,0.26980698241270906,-0.03665417764892408,-0.18661713025434518,-600.3975068615094,0.23447731143718648,-0.07168711059806009,0.001636357855530679,-0.002387632247847177,0.0028945560596258567
otiorynchus_singularis_trochanter_aligned,46,C.1.46,0.281792,-0.02946839,-0.159565,0.27939466108848143,-0.027553675084067725,-0.1597805549193433,-607.7211704312442,0.23395612898087959,-0.07538471720792989,0.001115175399223789,-0.0028663940444736006,0.0030756838246522662
otiorynchus_singularis_trochanter_aligned,47,C.1.47,0.2884734,-0.01949878,-0.1295538,0.2861889798934994,-0.019524739734370175,-0.12930860097423477,-615.6137704288186,0.23485999067394783,-0.07708397305126118,0.0020190370922920364,-0.0010967501597802624,0.00229768833679178
otiorynchus_singularis_trochanter_aligned,48,C.1.48,0.2901074,-0.01016807,-0.0986524,0.289219667651189,-0.013549087843551313,-0.09782461904154963,-623.4948300073694,0.23538896000585205,-0.0769188113365333,0.002548006424196253,0.002532239119626258,0.0035922933756461083
otiorynchus_singularis_trochanter_aligned,49,C.1.49,0.2883739,-0.004836172,-0.0668211,0.2884813288430228,-0.009786444333003852,-0.06593461780270213,-631.3588838057052,0.23535241535709045,-0.07854906146519686,0.0025114617754346535,0.004358342295400047,0.005030167771888197
